"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"ENX","Eaton Vance New York Municipal Bond Fund","11.9","$215.61M","2002","n/a","n/a","https://old.nasdaq.com/symbol/enx"
"EVY","Eaton Vance New York Municipal Income Trust","13.04","$70.44M","1999","n/a","n/a","https://old.nasdaq.com/symbol/evy"
"ELMD","Electromed, Inc.","12.25","$105.21M","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/elmd"
"ELLO","Ellomay Capital Ltd.","28.8","$351.19M","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/ello"
"ECF","Ellsworth Growth and Income Fund Ltd.","12.43","$164.14M","1986","n/a","n/a","https://old.nasdaq.com/symbol/ecf"
"ECF^A","Ellsworth Growth and Income Fund Ltd.","26.1999","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ecf^a"
"EMAN","eMagin Corporation","1.38","$92.99M","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/eman"
"MSN","Emerson Radio Corporation","0.7156","$15.06M","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/msn"
"EMX","EMX Royalty Corporation","3.06","$258.05M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/emx"
"UUUU","Energy Fuels Inc","1.92","$241.08M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/uuuu"
"UUUU.WS","Energy Fuels Inc","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/uuuu.ws"
"ENSV","ENSERVCO Corporation","0.1336","$7.35M","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ensv"
"ELA","Envela Corporation","3.36","$90.47M","n/a","Consumer Services","Consumer Specialties","https://old.nasdaq.com/symbol/ela"
"EQX","Equinox Gold Corp.","12.98","$3.13B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/eqx"
"ESP","Espey Mfg. & Electronics Corp.","16.8873","$40.57M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/esp"
"EVBN","Evans Bancorp, Inc.","22.96","$123.45M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/evbn"
"EVI","EVI Industries, Inc.","24.97","$297.5M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/evi"
"EPM","Evolution Petroleum Corporation, Inc.","2.86","$94.26M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/epm"
"FEN","First Trust Energy Income and Growth Fund","9.8","$196.2M","2004","n/a","n/a","https://old.nasdaq.com/symbol/fen"
"BDL","Flanigan&#39;s Enterprises, Inc.","16.9187","$31.45M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/bdl"
"FSI","Flexible Solutions International Inc.","2.85","$34.89M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/fsi"
"FTF","Franklin Limited Duration Income Trust","8.97","$270.35M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ftf"
"FSP","Franklin Street Properties Corp.","4.53","$486.2M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/fsp"
"FRD","Friedman Industries Inc.","6.46","$45.74M","n/a","Capital Goods","Steel/Iron Ore","https://old.nasdaq.com/symbol/frd"
"FTSI","FTS International, Inc.","4.89","$26.31M","2018","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ftsi"
"GAU","Galiano Gold Inc.","1.48","$330.33M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/gau"
"GGN","GAMCO Global Gold, Natural Reources & Income Trust ","3.67","$606.71M","2005","n/a","n/a","https://old.nasdaq.com/symbol/ggn"
"GGN^B","GAMCO Global Gold, Natural Reources & Income Trust ","25.55","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ggn^b"
"JOB","GEE Group Inc.","1.23","$21.73M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/job"
"GMO","General Moly, Inc","0.1167","$17.85M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gmo"
"GSAT","Globalstar, Inc.","0.3284","$548.54M","2006","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/gsat"
"GORO","Gold Resource Corporation","3.91","$274M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/goro"
"GSV","Gold Standard Ventures Corporation","0.8472","$254.19M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/gsv"
"AUMN","Golden Minerals Company","0.4466","$66.42M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aumn"
"GSS","Golden Star Resources, Ltd","4.5","$494.84M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gss"
"GV","Goldfield Corporation (The)","4.32","$105.94M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/gv"
"GDP","Goodrich Petroleum Corporation","8.51","$107.7M","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/gdp"
"GTE","Gran Tierra Energy Inc.","0.2698","$99.01M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/gte"
"GPL","Great Panther Mining Limited","0.9599","$338.93M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gpl"
"SIM","Grupo Simec, S.A. de C.V.","6.0301","$931.47M","1993","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/sim"
"AIM","Hemispherx BioPharma, Inc.","2.03","$80.57M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aim"
"HLM^","Hillman Group Capital Trust","29.47","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hlm^"
"HMG","HMG/Courtland Properties, Inc.","10.51","$10.59M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/hmg"
"HUSA","Houston American Energy Corporation","1.21","$8.42M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/husa"
"HWM^","Howmet Aerospace Inc.","69.5833","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hwm^"
"IBIO","iBio, Inc.","2.01","$350.57M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ibio"
"IBO","IBO (Listing Market - NYSE Amex Network B F)","24.84","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ibo"
"IMH","Impac Mortgage Holdings, Inc.","1.6","$33.97M","1997","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/imh"
"IMO","Imperial Oil Limited","16","$11.75B","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/imo"
"IOR","Income Opportunity Realty Investors, Inc.","11.9441","$49.79M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ior"
"IGC","India Globalization Capital Inc.","1.07","$44.08M","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/igc"
"INDO","Indonesia Energy Corporation Limited","4.29","$31.78M","2019","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/indo"
"INFU","InfuSystems Holdings, Inc.","14.02","$283.17M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/infu"
"IHT","InnSuites Hospitality Trust","1.16","$10.61M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/iht"
"NSPR","InspireMD Inc.","0.3807","$12.7M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/nspr"
"NSPR.WS","InspireMD Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nspr.ws"
"NSPR.WS.B","InspireMD Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nspr.ws.b"
"ITRG","Integra Resources Corp.","3.76","$179.82M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/itrg"
"INS","Intelligent Systems Corporation","38.67","$345.13M","1992","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ins"
"THM","International Tower Hill Mines Ltd","1.39","$260.73M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/thm"
"INTT","inTest Corporation","4.84","$50.53M","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/intt"
"INUV","Inuvo, Inc","0.39","$38.04M","n/a","Consumer Services","Advertising","https://old.nasdaq.com/symbol/inuv"
"VKI","Invesco Advantage Municipal Income Trust II","11.06","$490.97M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/vki"
"ISR","IsoRay, Inc.","0.6452","$43.65M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/isr"
"ISDR","Issuer Direct Corporation","16.9","$63.11M","n/a","Miscellaneous","Publishing","https://old.nasdaq.com/symbol/isdr"
"ITP","IT Tech Packaging, Inc.","0.4227","$12.05M","n/a","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/itp"
"KLR","Kaleyra, Inc.","7.55","$214.99M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/klr"
"KLR.WS","Kaleyra, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/klr.ws"
"KIQ","Kelso Technologies Inc","0.589","$27.78M","n/a","Capital Goods","Railroads","https://old.nasdaq.com/symbol/kiq"
"LGL","LGL Group, Inc. (The)","8.32","$43.36M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/lgl"
"LCTX","Lineage Cell Therapeutics, Inc.","0.9191","$137.85M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/lctx"
"MAG","MAG Silver Corporation","16.32","$1.53B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/mag"
"MHH","Mastech Digital, Inc","19.52","$222.11M","n/a","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/mhh"
"MTNB","Matinas Biopharma Holdings, Inc.","0.7655","$152.24M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mtnb"
"MMX","Maverix Metals Inc.","4.45","$570.21M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/mmx"
"IPB","Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate","28.9","n/a","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/ipb"
"MTA","Metalla Royalty & Streaming Ltd.","9.07","$328.27M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/mta"
"MXC","Mexco Energy Corporation","4.48","$9.14M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mxc"
"MLSS","Milestone Scientific, Inc.","1.46","$96.17M","2015","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/mlss"
"MYO","Myomo Inc.","3.79","$13.92M","2017","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/myo"
"NNVC","NanoViricides, Inc.","5.58","$59.46M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/nnvc"
"ATEST","NASDAQ TEST STOCK","27.52","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest"
"ATEST.A","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest.a"
"ATEST.B","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest.b"
"ATEST.C","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest.c"
"NHC","National HealthCare Corporation","63.7","$978.27M","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/nhc"
"NAVB","Navidea Biopharmaceuticals, Inc.","2.8","$72.37M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/navb"
"NTIP","Network-1 Technologies, Inc.","2.2273","$53.5M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/ntip"
"NBW","Neuberger Berman California Municipal Fund Inc","13.15","$73M","2002","n/a","n/a","https://old.nasdaq.com/symbol/nbw"
"NHS","Neuberger Berman High Yield Strategies Fund","11.28","$220.42M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nhs"
"NML","Neuberger Berman MLP and Energy Income Fund Inc.","2.67","$151.28M","2013","n/a","n/a","https://old.nasdaq.com/symbol/nml"
"NBH","Neuberger Berman Municipal Fund Inc.","15.26","$287.08M","2002","n/a","n/a","https://old.nasdaq.com/symbol/nbh"
"NBO","Neuberger Berman New York Municipal Fund Inc.","11.833","$60.08M","2002","n/a","n/a","https://old.nasdaq.com/symbol/nbo"
